"Logo","Nom","Secteur","Année de création","Label Date","Site web","Résumé","Founders","Courriel","Téléphone"
"undefined","ODIX","Business Software and services","2021","05/2021","","ODIX est un ERP qui regroupe tous les besoins d’une PME dans un seul endroit.","Anis ZehaniAnissa Zehani","n.a.","n.a."
"undefined","On hand Apps","Business Software and services","2021","01/2022","","On Hand Apps développe et commercialise des applications utilitaires simples et pratiques qui permettent notamment de localiser des airpods perdus, imprimer, scanner et signer des documents","Foued Amiri Malek Amiri","n.a.","n.a."
"undefined","WorkPoint / X-Point","Business Software and services","2021","12/2021","","WorkPoint est une plateforme permettant de gérer les différentes interactions entre les employés et l'environnement de travail offrant une vue 360° de l’employé.","Amira Hasnaoui Montassar Bach Ouerdiane","n.a.","n.a."
"undefined","Autoween","Business Software and services","2020","05/2021","","Plateforme conçue pour gérer les autoécoles et les mettre en relation avec des clients à travers un annuaire public","Mouheb KraiemMaha Benmohamed","n.a.","n.a."
"undefined","Rednaks – Fenix","Business Software and services","2020","05/2021","","Rednaks via son application TAWA WEB a pour objectif de digitaliser les services et les processus métiers des entreprises.","Skander Chouka","n.a.","n.a."
"undefined","Domicilier.tn","Business Software and services","2020","11/2021","","Une solution de domiciliation 100% en ligne basée sur la signature électronique et une application mobile pour consulter les courriers en temps réel","Aymen MokademHaykel Ben othman","n.a.","n.a."
"undefined","ellz and beyond Tunisie","Business Software and services","2020","02/2021","","Ellz and beyond développe des solutions pour auditer, gérer et optimiser les espaces des travail des grands comptes privés et publics.","Aymen Ellouze","n.a.","n.a."
"undefined","Symmetryk","Business Software and services","2012","04/2019","","Symmetryk : Une plateforme d'échange de documents entre le siège, filiales et les équipes sur le terrain.","Khaled FradRamzi Mrad","n.a.","n.a."
"undefined","RGPD Tunisie","Business Software and services","2023","07/2023","","RGPD Tunisie est une startup spécialisée dans la legaltech, proposant une approche digitalisée pour un diagnostic rapide et fiable de la conformité en matière de protection des données personnelles. Elle offre des services d'audit de conformité et d'évaluation des risques, ainsi que des mesures de régularisation et d'accompagnement pour aider les entreprises à gérer efficacement leurs obligations juridiques et à renforcer la confiance des clients dans la protection de leurs données.","wissal douissaRayen CHERNISlim ABDELJELIL","contact@rgpd-tunisie.tn","(+216) 73 204 870"
"undefined","ContyFind","Business Software and services","2023","04/2023","","null","Aymen SarrajMaan mrabetHassen Tahri","n.a.","n.a."
"undefined","Above Creation","Business Software and services","2020","02/2022","","ABOVE Creation, utilise la technologie de réalité augmentée pour créer des plateformes qui aident les marques à vendre plus et à réduire leurs retour produits.","Ahmad Melki","n.a.","n.a."
"undefined","RAIS / SMART QUALITY GATE","Business Software and services","2019","02/2022","","SMART QUALITY GATE propose des solutions pouvant faciliter la mise en œuvre des projets de transformation agile, digitale ou pratiques.","Asma Reghimi","n.a.","n.a."
"undefined","UniQ Soft Technology","Business Software and services","2016","05/2019","","UniQ Soft Technology: Conception et Développement d'un système d'information financière UniQ doté d’un moteur Comptable capable de résoudre les problèmes de reporting et de comptabilité les plus complexes dans le secteur bancaire.","Bechir Yakhlef","n.a.","n.a."
"undefined","Kuiklink Technologies","Business Software and services","2019","01/2020","","Kuiklink Technologies est spécialisée en terminaux WiFi et vise à intégrer des solutions innovantes en terme de création de service et d'amélioration de la QoE. Les missions incluent le développement des appliances hotspot, WISP et technologies y liées ainsi que l'implémentation des solutions personnalisées pour les entreprises.","Lotfi Aguerbaoui","n.a.","n.a."
"undefined","AbrarCom Analytics","Business Software and services","2017","02/2020","","AbrarCom Analytics est un outil de reporting basé sur la Business Intelligence destiné à diffuser des rapports d'activité précis selon un format prédéterminé.","Houssem NouriSlim Ben SalahAmira Ben FaizaHaythem Farhati","n.a.","n.a."
"undefined","Digital Catering Solution","Business Software and services","2024","02/2024","","null","salmen ajiliMahdi AbdelmalekSahbi Ben hmida","n.a.","n.a."
"undefined","Dqlick","Business Software and services","2018","05/2019","","Dqlick est une insurtech spécialisée dans la digitalisation et la transformation numérique dans le domaine de l’assurance des personnes.","Hamdi Bouslah","n.a.","n.a."
"undefined","Taysir Solutions Tunisia","Business Software and services","2015","05/2019","","Taysir Solutions Tunisia, fournisseur de plateforme pour les agences de voyage à travers le monde. On a trois logiciels qui sont utilisés pour la gestion des visas, gestion de billetterie et réservation d'hôtel.","Fakhreddine HachfiMohamed Belghith","n.a.","n.a."
"undefined","SIMARL","Business Software and services","2018","09/2019","","SIMARL est spécialisée dans l'administration des résolutions des litiges : consultation, organisation, promotion des modes alternatifs de règlement des conflits...","kaouthar SALMI","salmi.kaouthar@gmail.com","26837765"
"undefined","iCompass","Business Software and services","2019","09/2019","","ICOMPASS mesure l'opinion perçue sur le digital : Rapports en temps réel fourni par un modèle DeepLearning. Le modèle comprend les dialectes arabes et africains.","Ahmed NouisserMohamed Hatem Haddad","n.a.","n.a."
"undefined","FlowsMaster","Business Software and services","2020","10/2020","","Technagile Innovation Labs propose des solutions innovantes pour servir ses clients dans leurs transformation digitale, basées sur les dernières technologies. Grâce à la RFID et à l'intelligence artificielle, ils offrent une expérience client unique à des prix accessibles.","Jamel GasriNesrine Ben GuiratWajih AbidiKhaled Ben YounesAhmed Mnasri","n.a.","n.a."
"undefined","Link 2 Grow Network","Business Software and services","2023","01/2024","","Plateforme de mise en relation franchiseur - franchisé","Rym AyariWalid Ayari","agora@planet.tn","55433111"
"undefined","Dyxis Cloud Provider","Business Software and services","2018","01/2023","","Cloud Provider: Allocation dynamique des ressources de calcul et de stockage sur le cloud,
 Plan de continuité d'activité sur le cloud,
 Cloudification assistée des systèmes on-premise","Skander Zoghlami","hello@dyxis.com","70938992"
"undefined","MSS GROUP","Business Software and services","2020","09/2021","","MSS GROUP se spécialise dans le développement de solution IT, de gestion, de contrôle, de maintenance et d'installation à distance des caisses enregistreuses","Michela LUCIFEROOttavio Lucifero","n.a.","n.a."
"undefined","Think-it","Business Software and services","2017","05/2020","","Notre collectif élabore des solutions IA et Cloud pour aider les leaders de l'innovation à obtenir des résultats de haute qualité à moindre coût.","Mehemed BougseaJosha Raue","n.a.","n.a."
"undefined","SAQARA INTERNATIONAL","Business Software and services","2020","03/2021","","SAQARA est une plateforme SaaS qui s'adresse à tous les acteurs de la construction, la solution permet de digitaliser et automatiser la gestion des appels d'offres.","Rudolph Cerqueira","n.a.","n.a."
"undefined","Poly","Business Software and services","2025","11/2025","","null","Mohamed Taha Stafares makki","n.a.","n.a."
"undefined","UCOD","Business Software and services","2023","01/2024","","UCOD est une plateforme de script visuel révolutionnaire qui rend le développement logiciel accessible à tous. Elle propose une interface conviviale pour créer des logiciels sans écrire de code, idéale aussi bien pour les débutants que pour les développeurs expérimentés.","Mouadh Hsoumi","contact@ucod.io","0021622083857"
"undefined","E-Tafakna","Business Software and services","2022","07/2022","","E-Tafakna est une application mobile (iOS/android) et une plateforme qui proposent des contrats et des documents juridiquement contraignants que vous pouvez créer, gérer, négocier, signer électroniquement et envoyer.","Norchen Mezni","n.a.","n.a."
"undefined","B2B Tunisia","Business Software and services","2018","07/2021","","B2B Tunisia est une plateforme qui permet aux entreprises de mettre en avant leurs produits et services ainsi que d'autres services dans le but de les mettres en relation avec d'autre sociétés.","Mohamed Bechir ChnitiNedra Neffeti","n.a.","n.a."
"undefined","Go Online Africa","Business Software and services","2019","04/2020","","GOA est une société de service e-commerce à destination des marques qui intervient sur l’ensemble de la chaine de valeur e-commerce : logistique, gestion des e-boutiques...""","Emna MakniSalma Amor","n.a.","n.a."
"undefined","Pas Comme Eux","Business Software and services","2023","05/2023","","Pas Comme Eux est une société créative axée sur la durabilité, opérant à partir de Tunis, en Tunisie. Nous travaillons dans tous les domaines du divertissement moderne, avec des artistes et des producteurs, des auteurs-compositeurs et des athlètes. Nous sommes une organisation à service complet, soutenant notre liste diversifiée de talents par le biais du management d'artistes, de l'édition musicale, des tournées, de la production, du développement stratégique de la marque et au-delà. Pas Comme Eux propose des experts en gestion d'artistes, en technologie, en mode et en philanthropie, redéfinissant ainsi le monde du divertissement.","Ahmed Bahaeddine AbdelwahedGhofrane Amdouni","contactpascommeeux@gmail.com","22177830"
"undefined","Expy.ai","Business Software and services","2023","08/2023","","Expy.ai est un écosystème de produits de données qui offre une gamme d'outils pour les organisations afin d'extraire des informations précieuses de leurs données.","Slim NabliLuay BEN ALI","info@expy.ai","98 57 52 96"
"undefined","WAKAHAW","Business Software and services","2017","06/2020","","Mise en place de solutions d’aide à la décision en Business Intelligence, Conseil et Formation dans le domaine informatique.","Kais Ben AmarHaythem BennaWajih Hajji","n.a.","n.a."
"undefined","Mon Ingénieur Express","Business Software and services","2022","12/2022","","Mon Ingénieur Express est une plateforme de recrutement d'ingénieurs en télétravail, qui associe l'expertise métier aux nouvelles technologies. Elle permet de RECRUTER DES INGÉNIEURS À DISTANCE de façon très  simple. ET À DES TARIFS 50% MOINS ÉLEVÉS QU’EN Europe.","Mohamed Moatez JendoubiFrederic Delahaigue","med.moatez.benmedien@gmail.com","58133669"
"undefined","Pedalo","Business Software and services","2021","10/2022","","Pedalo est une startup sociale qui aide les entrepreneurs à se focaliser sur ce qu'ils savent faire le plus et nous nous chargeons de livrer leurs documents et produits. Et ce, avec à un service de livraison fiable, rapide et respectueux de l'environnement grâce aux vélos.","Amany HamdanyAdnen Ben Hadj","pedalo.tunis@gmail.com","55220790"
"undefined","FoundPad","Business Software and services","2019","09/2019","","FoundPad provide products & services that help founders, product managers, investors, accelerators, incubators, and innovative organizations streamline their process.","Mehdi NakouriHazem Mhiri","n.a.","n.a."
"undefined","Vectors Software","Business Software and services","2022","11/2022","","Vectors Software développe des Applications pour enrichir les outils Atlassian tels que JIRA et Confluence","Melek JebnounSofien Chaabouni","contact@covectors.io","n.a."
"undefined","CLEDISS","Business Software and services","2018","07/2020","","NOMADIS est une solution intégrée pour une gestion automatique de la vente, distribution et du merchandising.","Ahmed SalahSoumaya Dridi","n.a.","n.a."
"undefined","CUIDA","Business Software and services","2021","02/2022","","Une plateforme qui permet la digitalisation des métiers de physiothérapie grâce à a gestion de centre, la numérisation des fiches patients et gestion de documents","Kamel SANAIYousri FILALIMajdi SIDAOUIFARHAT AKROUTHoussem eddine SANAIWalid ZAGHDOUDAmel saif ennasserAmeni Jebahi","n.a.","n.a."
"undefined","Revampr","Business Software and services","2022","06/2022","","Revampr est une start-up spécialisée dans les solutions basées sur l'Intelligence Artificielle pour la transcription des documents.","Firas Ben AbidMarwen SallemAdnen SaadaouiAdnen Somai","contact@revampr.com","+21620373270"
"undefined","ALIDADE","Business Software and services","2016","02/2024","","Alidade accompagne les laboratoires pharmaceutiques dans leur processus d'excellence commerciale par  un service de données produits et clients appelé DataVey  et par un service Technologique articulé autour la plateforme CannyForce  de gestion de la force de vente en Cloud sécurisé et hautement disponible.","Mejdi GaddouchMonia Grtimene","mejdi.gaddouch@alidade.tn","98223000"
"undefined","bqube","Business Software and services","2017","05/2022","","BQube ITs est une start-up spécialiste en Industrie4.0. Elle offre la solution QMES en mode SAAS (Software as a Service) exploitable au sein ou en dehors de la structure (accessible de partout), qui permet une gestion et un contrôle h24 du déroulement des activités. Afin de permettre les entreprises industrielles de maîtriser tous les détails du processus de production qui ont un impact négatif sur l'efficacité et la qualité de leurs opérations QMES 4.0 a été conçu pour: - Avoir une meilleure gestion du flux de l'usine - améliorer les pertes de performance, de qualité et de disponibilité -Faire le suivi de l'usine en temps réel. -Analyser le rendement et l'identification des problèmes","Mohamed Abed BechiriMohamed SaidiSamia Saaidia","b.contact@bqubeits.com","70146565"
"undefined","Autorent","Business Software and services","2021","03/2021","","Autorent is a car rental agency management solution and a marketplace for booking and comparing prices rental cars","Moslem Ben Dhaou","n.a.","n.a."
"undefined","Idaraty.tn","Business Software and services","2020","02/2021","","Description: Idaraty est une plateforme qui facilite la relation entre les citoyens et les institutions publiques en Tunisie","Ahmed Zoghlami","n.a.","n.a."
"undefined","HERUNDO","Business Software and services","2018","06/2019","","Herundo fournit des solutions de bout-en-bout aux entreprises pour le lancement de leur activité e-commerce en local et à l’international, avec une expérience client réussie.","Nizar BouguilaBecem JallouliMohamed Boujelbane","n.a.","n.a."
"undefined","Tashfeen","Business Software and services","2020","12/2020","","Tashfeen développe des logiciels et des applications en ingénierie civile et mécanique. Ses clients cibles sont les bureau d'études, les universités et les entrepreneurs.","Wafi BouassidaMounir Bouassida","n.a.","n.a."
"undefined","Lavocato","Business Software and services","2021","02/2022","","LAVOCATO est un projet de transformation digitale du métier des avocats. un outil stratégique 360° clé en main et facile d'usage. La vocation est franchement de remplacer les papiers par des fonctions numériques 2-clics","Khelifi Ali","n.a.","n.a."
"undefined","La relation client à l’ère du digital","Business Software and services","2020","04/2020","","Go Mybiz offre une suite de logiciels de gestion de la relation clients qui permettent aux TPE/PME de digitaliser leur « parcours client » de bout en bout et en omnicanal.","Mohamed Achraf GabsiYassine TouatiSofiene DjaitMehdi Touati","info@gomybiz.co","+21671100110"
"undefined","WiseShare","Business Software and services","2024","12/2024","","WiseShare est un SaaS conçu pour gérer et partager des documents sensibles, mettant ainsi fin à des pratiques non éthiques qui nuisent à la compétitivité des entreprises. Trop souvent, des propositions techniques et financières se retrouvent entre les mains de concurrents sans le consentement de l'entreprise, créant ainsi des fuites d'informations critiques (propriété intellectuelle, inventions, savoir-faire). WiseShare permet aux équipes dirigeantes de garder un contrôle total sur leurs documents en limitant la capacité des destinataires à télécharger ou à transférer des fichiers, et en offrant la possibilité de révoquer l'accès en temps réel si un partage non autorisé est détecté, ainsi que la prévention des captures d'écran. En plus de la sécurité, WiseShare intègre un tableau de bord analytique qui fournit des informations précises sur l'engagement des prospects (qui a ouvert le document, combien de temps il l'a consulté, sur quoi il s'est concentré).","Skander Harzi","n.a.","n.a."
"undefined","Logis Technologies","Business Software and services","2018","01/2020","","Logis Technologies fournit différents ensembles d'outils conçus pour le secteur immobilier afin d'aider les professionnels de l'immobilier à gérer efficacement leur entreprise et les consommateurs à trouver facilement leur logement.","Riadh Ellouze","n.a.","n.a."
"undefined","Freelancy","Business Software and services","2020","03/2021","","Freelancy est une plateforme numérique de mise en relation professionnelle (B2B) permettant aux entreprises d'être mises en contact avec des autoentrepreneurs ou experts indépendants.","Mehdi MhamdiKarim Zribi","n.a.","n.a."
"undefined","Birou","Business Software and services","2021","09/2021","","Birou est une plateforme intelligente de facturation professionnelle en ligne pour gérer les factures de ventes et d'achats, devis, clients, paiements.","Chaibi AlaaBoumiza Imen","n.a.","n.a."
